element_id,extension_value
5619,SOURCE OF REFERRAL FOR OUT-PATIENTS
5619,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/source_of_referral_for_out-patients_de.asp?shownav=0
5621,REFERRAL TO TREATMENT PERIOD START DATE
5621,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ref/referral_to_treatment_period_start_date_de.asp?shownav=0
5623,DATE FIRST SEEN
5623,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_first_seen_de.asp?shownav=0
5034,SITE CODE (OF PROVIDER FIRST SEEN)
5034,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/site/site_code_(of_provider_first_seen)_de.asp?shownav=0
5626,CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS
5626,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_or_symptomatic_breast_referral_patient_status_de.asp?shownav=0
5040,SITE CODE (OF IMAGING)
5040,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/site/site_code_(of_imaging)_de.asp?shownav=0
5041,PROCEDURE DATE (CANCER IMAGING)
5041,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(cancer_imaging)_de.asp?shownav=0
5628,IMAGING CODE (NICIP)
5628,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imaging_code_(nicip)_de.asp?shownav=0
5048,MORPHOLOGY (SNOMED)
5048,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(snomed)_de.asp?shownav=0
5051,METASTATIC SITE
5051,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastatic%20site_de.asp?shownav=0
5664,MULTIDISCIPLINARY TEAM DISCUSSION INDICATOR
5664,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_discussion_indicator_de.asp?shownav=0
5666,MULTIDISCIPLINARY TEAM DISCUSSION DATE (CANCER)
5666,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_discussion_date_(cancer)_de.asp?shownav=0
5699,CANCER TREATMENT EVENT TYPE
5699,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_treatment_event_type_de.asp?shownav=0
5701,TREATMENT START DATE (CANCER)
5701,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tr/treatment_start_date_(cancer)_de.asp?shownav=0
5067,CANCER TREATMENT MODALITY
5067,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_treatment_modality_de.asp?shownav=0
5068,SITE CODE (OF PROVIDER CANCER TREATMENT START DATE)
5068,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/site/site_code_(of_provider_cancer_treatment_start_date)_de.asp?shownav=0
5096,INVESTIGATION RESULT DATE
5096,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/investigation_result_date_de.asp?shownav=0
5722,SERVICE REPORT IDENTIFIER
5722,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_identifier_de.asp?shownav=0
5725,SERVICE REPORT STATUS
5725,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_status_de.asp?shownav=0
5097,CARE PROFESSIONAL CODE (PATHOLOGY TEST REQUESTED BY)
5097,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_code_(pathology_test_requested_by)_de.asp?shownav=0
5098,SITE CODE (OF PATHOLOGY TEST REQUEST)
5098,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/site/site_code_(of_pathology_test_request)_de.asp?shownav=0
5727,SAMPLE COLLECTION DATE
5727,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_collection_date_de.asp?shownav=0
5729,SAMPLE RECEIPT DATE
5729,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_receipt_date_de.asp?shownav=0
5731,ORGANISATION CODE (OF REPORTING PATHOLOGIST)
5731,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(of_reporting_pathologist)_de.asp?shownav=0
5733,CONSULTANT CODE (PATHOLOGIST)
5733,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(pathologist)_de.asp?shownav=0
5736,SPECIMEN NATURE
5736,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/specimen_nature_de.asp?shownav=0
5099,TOPOGRAPHY (SNOMED)
5099,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/to/topography_(snomed)_de.asp?shownav=0
5100,TOPOGRAPHY  (SNOMED CT)
5101,PRIMARY DIAGNOSIS (ICD PATHOLOGICAL)
5101,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_diagnosis_(icd_pathological)_de.asp?shownav=0
5102,TUMOUR LATERALITYÂù(PATHOLOGICAL)
5102,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_laterality_(pathological)_de.asp?shownav=0
5103,PATHOLOGY REPORT TEXT
5103,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_report_text_de.asp?shownav=0
5104,LESION SIZE (PATHOLOGICAL)
5104,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_size_(pathological)_de.asp?shownav=0
5105,GRADE OF DIFFERENTIATION (PATHOLOGICAL)
5105,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/grade_of_differentiation_(pathological)_de.asp?shownav=0
5742,CANCER VASCULAR OR LYMPHATIC INVASION
5742,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_vascular_or_lymphatic_invasion_de.asp?shownav=0
5745,EXCISION MARGININDICATION CODE
5745,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/excision_margin_de.asp?shownav=0
5106,NUMBER OF NODES EXAMINED
5106,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_de.asp?shownav=0
5107,NUMBER OF NODES POSITIVE
5107,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_de.asp?shownav=0
5750,T CATEGORY (PATHOLOGICAL)
5750,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/t_category_(pathological)_de.asp?shownav=0
5752,N CATEGORY (PATHOLOGICAL)
5752,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/n_category_(pathological)_de.asp?shownav=0
5754,M CATEGORY (PATHOLOGICAL)
5754,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/m_category_(pathological)_de.asp?shownav=0
5756,TNM STAGE GROUPING (PATHOLOGICAL)
5756,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_(pathological)_de.asp?shownav=0
5108,NEOADJUVANT THERAPY INDICATOR
5108,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/ne/neoadjuvant_therapy_indicator_de.asp?shownav=0
5131,NOTTINGHAM PROGNOSTIC INDEX SCORE
5131,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/nottingham_prognostic_index_score_de.asp?shownav=0
5135,ASA PHYSICAL STATUS CLASSIFICATION SYSTEM CODE
5135,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/asa_physical_status_classification_system_code_de.asp?shownav=0
5136,MULTIFOCAL TUMOUR INDICATOR (BREAST)
5136,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multifocal_tumour_indicator_(breast)_de.asp?shownav=0
5137,DUCTAL CARCINOMA IN SITU GRADE
5137,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dr/ductal_carcinoma_in_situ_grade_de.asp?shownav=0
5138,BREAST INVASIVE GRADE
5138,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/b/br/breast_invasive_grade_de.asp?shownav=0
5139,NON INVASIVE TUMOUR SIZE
5139,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/non_invasive_tumour_size_de.asp?shownav=0
5140,WHOLE TUMOUR SIZE
5140,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/whole_tumour_size_de.asp?shownav=0
5141,METASTASIS EXTENT CODE
5141,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastasis_extent_code_de.asp?shownav=0
5142,DISTANCE TO MARGIN
5142,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_margin_de.asp?shownav=0
5144,ALLRED SCORE (ESTROGEN RECEPTOR)
5144,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(estrogen_receptor)_de.asp?shownav=0
5145,ESTROGEN RECEPTOR STATUS
5145,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/estrogen_receptor_status_de.asp?shownav=0
5146,ALLRED SCORE (PROGESTERONE RECEPTOR)
5146,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(progesterone_receptor)_de.asp?shownav=0
5147,PROGESTERONE RECEPTOR STATUS
5147,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/progesterone_receptor_status_de.asp?shownav=0
5148,HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR STATUS
5148,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_receptor_status_de.asp?shownav=0
5149,HUMAN EPIDERMAL GROWTH FACTOR IN-SITU HYBRIDIZATION RECEPTOR STATUS
5149,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_in-situ_hybridization_receptor_status_de.asp?shownav=0
5150,CYTOLOGY RESULT CODE (BREAST)
5150,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(breast)_de.asp?shownav=0
5151,CYTOLOGY RESULT CODE (NODE)
5151,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(node)_de.asp?shownav=0
5152,CORE BIOPSY RESULT CODE (BREAST)
5152,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(breast)_de.asp?shownav=0
5153,CORE BIOPSY RESULT CODE (NODE)
5153,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(node)_de.asp?shownav=0
5167,RADIOSURGERY PERFORMED INDICATOR
5167,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/radiosurgery_performed_indicator_de.asp?shownav=0
5168,PROCEDURE DATE (RADIOSURGERY)
5168,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(radiosurgery)_de.asp?shownav=0
5170,HORMONE EXPRESSION TYPE
5170,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hor/hormone_expression_type_de.asp?shownav=0
5171,WORLD HEALTH ORGANISATION CENTRAL NERVOUS SYSTEM TUMOUR GRADE
5171,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/world_health_organisation_central_nervous_system_tumour_grade_de.asp?shownav=0
5173,PROCEDURE DATE (CT SCAN)
5173,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(ct_scan)_de.asp?shownav=0
5174,PROCEDURE DATE (FIRST MRI SCAN)
5174,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(first_mri_scan)_de.asp?shownav=0
5175,PROCEDURE DATE (SECOND MRI SCAN)
5176,PROCEDURE DATE (ENDOANAL ULTRASOUND)
5176,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(endoanal_ultrasound)_de.asp?shownav=0
5178,SYNCHRONOUS TUMOUR INDICATOR (CAECUM)
5178,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(caecum)_de.asp?shownav=0
5179,SYNCHRONOUS TUMOUR INDICATOR (APPENDIX)
5179,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(appendix)_de.asp?shownav=0
5180,SYNCHRONOUS TUMOUR INDICATOR (ASCENDING COLON)
5180,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(ascending_colon)_de.asp?shownav=0
5181,SYNCHRONOUS TUMOUR INDICATOR (HEPATIC FLEXURE)
5181,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(hepatic_flexure)_de.asp?shownav=0
5182,SYNCHRONOUS TUMOUR INDICATOR (TRANSVERSE COLON)
5182,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(transverse_colon)_de.asp?shownav=0
5183,SYNCHRONOUS TUMOUR INDICATOR (SPLENIC FLEXURE)
5183,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(splenic_flexure)_de.asp?shownav=0
5184,SYNCHRONOUS TUMOUR INDICATOR (DESCENDING COLON)
5184,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(descending_colon)_de.asp?shownav=0
5185,SYNCHRONOUS TUMOUR INDICATOR (SIGMOID COLON)
5185,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(sigmoid_colon)_de.asp?shownav=0
5186,SYNCHRONOUS TUMOUR INDICATOR (RECTOSIGMOID)
5186,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(rectosigmoid)_de.asp?shownav=0
5187,SYNCHRONOUS TUMOUR INDICATOR (RECTUM)
5187,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_(rectum)_de.asp?shownav=0
5188,TUMOUR HEIGHT ABOVE ANAL VERGE
5188,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_height_above_anal_verge_de.asp?shownav=0
5191,BODY MASS INDEX
5191,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/body_mass_index_de.asp?shownav=0
5193,MODIFIED DUKES STAGE
5193,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/modified_dukes_classification_code_de.asp?shownav=0
5195,SURGICAL ACCESS TYPE
5195,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sur/surgical_access_type_de.asp?shownav=0
5199,MARGIN INVOLVED INDICATION CODE (POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN)
5199,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(positive_proximal_or_distal_resection_margin)_de.asp?shownav=0
5200,DISTANCE TO CLOSEST NON PERITONEALISED RESECTION MARGIN
5200,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_closest_non_peritonealised_resection_margin_de.asp?shownav=0
5201,DISTANCE TO DISTAL RESECTION MARGIN
5201,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_distal_resection_margin_de.asp?shownav=0
5202,PERFORATIONS OR SEROSAL INVOLVEMENT INDICATION CODE
5202,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/perforations_or_serosal_involvement_indication_code_de.asp?shownav=0
5203,PLANE OF SURGICAL EXCISION TYPE
