Data item No.,Section,Sub-section,Data Item Name,Data Item DesXXXXXXXiption,Value domain,Link to existing definition,Notes from GD/JCIS,[Optional] Local identifier,A: How is the data item collected,"B. How is the data item stored, within the centre?",C. How would you describe the existing coverage?,D. How would you describe the existing quality?,E. How hard would it be to achieve full data,F. what  are the circumstances of data collection?  where and when is the data recorded?  who is responsible for data entry?,"G. is there a particular form (or data standard, or proforma) used for the collection of the data?   If so, please supply a copy or reference. ","H. if the data is stored in a local database or data warehouse, what is the name and version of the database application?",E2. Source for column E - how data established?
TEST_1,MAIN,PATIENT IDENTITY DETAILS,NHS NUMBER*,"
*For linkage purposes NHS NUMBER
and/or
 LOCAL PATIENT IDENTIFIER
is required.

The NHS NUMBER, the primary identifier of a PERSON, is a unique identifier for aPATIENTwithin the NHS in England and Wales. This will not vary by any ORGANISATION of which a PERSON is a PATIENT.","
",NHS NUMBER,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0010,2,2,3,1,,When Patient demographics entered.,GC 123,NEO4J,from source
TEST_2,MAIN,PATIENT IDENTITY DETAILS,LOCAL PATIENT IDENTIFIER*,"*For linkage purposes NHS NUMBER
and/or
 LOCAL PATIENT IDENTIFIER
is required.

This is a number used to identify a PATIENT uniquely within a Health Care Provider. It may be different from the PATIENT's casenote number and may be assigned automatically by the computer system.","
",LOCAL PATIENT IDENTIFIER,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0020,2,2,3,1,hard,When Patient demographics entered.,GC 124,NEO4J,from source
TEST_3,MAIN,PATIENT IDENTITY DETAILS,NHS NUMBER STATUS INDICATOR CODE,The NHS NUMBER STATUS  INDICATOR CODE indicates the verification status of the NHS number provided.,"01 : Number present and verified
02 : Number present but not traced
03 : Trace required
04 : Trace attempted - No match or multiple match found
05 : Trace needs to be resolved - (NHS Number or patient detail conflict)
06 : Trace in progress
07 : Number not present and trace not required
08 : Trace postponed (baby under six weeks old)
",NHS NUMBER STATUS INDICATOR CODE,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX1350,2,2,1,1,1,When Patient demographics entered.,GC 125,NEO4J,from source
TEST_4,MAIN,PATIENT IDENTITY DETAILS,PERSON BIRTH DATE,The date on which a PERSON was born or is officially deemed to have been born.,"
",PERSON BIRTH DATE,,XXXXXXX0100,2,2,1,1,1,When Patient demographics entered.,GC 126,NEO4J,from source
TEST_5,MAIN,PATIENT IDENTITY DETAILS,ORGANISATION CODE (CODE OF PROVIDER),"ORGANISATION CODE (CODE OF PROVIDER) is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider.
(an6 not applicable to COSD)","see ORGANISATION CODE
",ORGANISATION CODE (CODE OF PROVIDER),,XXXXXXX0030,2,1,1,1,1,When referral details entered.,GC 127,NEO4J,from source
TEST_6,MAIN,DIAGNOSTIC DETAILS,PRIMARY DIAGNOSIS (ICD),See DIAGNOSTIC CODING for details on coding and PRIMARY DIAGNOSES for the standardised definition of primary diagnosis.,"
",PRIMARY DIAGNOSIS (ICD),,XXXXXXX0370,1,1,1,1,1,MDT Meeting,GC 128,NEO4J,from source
TEST_7,MAIN,DIAGNOSTIC DETAILS,DATE OF DIAGNOSIS (CLINICALLY AGREED)*,"*For linkage purposes DATE OF DIAGNOSIS ((CLINICALLY AGREED)
or
 DATE OF RECURRENCE (CLINICALLY AGREED)
is required as mandatory.

Record the date  where TESTcer was confirmed or diagnosis agreed (This will normally be  the date of the authorised  pathology report which confirms the TESTcer or if this is not available at the time it will be the date of the Multidisciplinary Team Meeting when the diagnosis was agreed)
(This is may not be the same as Date of Diagnosis which is used for TESTcer Registration.)  ","
",DATE OF DIAGNOSIS (TESTCER CLINICALLY AGREED),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX2030,2,2,1,1,1,"MDT Meeting - From MDT against which definitive diagnosis recorded, or final pre-treatment diagnosis recorded.",GC 129,NEO4J,from source
TEST_8,MAIN,DIAGNOSTIC DETAILS,DATE OF RECURRENCE (CLINICALLY AGREED)*,"*For linkage purposes DATE OF DIAGNOSIS ((CLINICALLY AGREED)
or
 DATE OF RECURRENCE (CLINICALLY AGREED)
is required as mandatory.

(Recurrences only.)
Record the date where TESTcer recurrence was confirmed or diagnosis of recurrence was agreed (This will normally be the  date of the authorised  pathology report which confirms the recurrence or if this is not available at the time it will be the date of the Multidisciplinary Team Meeting when the diagnosis of recurrence was agreed)
(This is may not be the same as Date of Recurrence which is used for TESTcer Registration.)  ","
",DATE OF RECURRENCE (TESTCER CLINICALLY AGREED),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0440,2,2,1,3,hard,"MDT Meeting - From MDT against which definitive diagnosis recorded, or final pre-treatment diagnosis recorded. Recurrence radio button needs to be selected on MDT meeting / Diagnosis / Diagnosis tab or MDT D&S tab",GC 130,NEO4J,from source
TEST_9,MAIN,DEMOGRAPHICS,PERSON FAMILY NAME,"That part of a PERSON's name which is used to describe family, clan, tribal group, or marital association.","
",PERSON FAMILY NAME,,XXXXXXX0050,2,2,1,1,1,When Patient demographics entered.,GC 131,NEO4J,from source
TEST_10,MAIN,DEMOGRAPHICS,PERSON GIVEN NAME,The forename(s) or given name(s) of a PERSON.,"
",PERSON GIVEN NAME,,XXXXXXX0060,2,2,1,1,1,When Patient demographics entered.,GC 132,NEO4J,from source
